Alloy,No,Component,Fraction,a,delta,Tm,Hmix,D_Hmix,Sid,Elec_nega,D_elec_nega,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
FeCoNiCrAlCu,6,Fe Co Ni Cr Al Cu,1 1 1 1 1 1,1.282833333,0.052811306,1629.706667,-4.777777778,6.312506366,1.791759469,1.798333333,0.119082138,7.833333333,2.671869924,1.51E+11,36.21693895,IM+SS
AlNb1.5Ta0.5Ti1.5Zr0.5,5,Al Nb Ta Ti Zr,1 1.5 0.5 1.5 0.5,1.457,0.034809102,2135.794,-15.12,9.638789966,1.504788284,1.547,0.081123363,4.2,0.748331477,1.26E+11,44.82695432,SS
ZrTi,2,Zr Ti,50 50,1.5325,0.046003263,2034.5,0,0,0.693147181,1.435,0.105,4,0,90416666667,19.58333333,AM
AlCrMoSiTi,5,Al Cr Mo Si Ti,1 1 1 1 1,1.3318,0.08678293,1927.494,-34.08,14.82886914,1.609437912,1.774,0.227824494,4.6,1.2,1.35E+11,54.73719028,IM
Al4Mn,2,Al Mn,4 1,1.4156,0.023170387,1050.576,-12.16,2.736,0.500402424,1.598,0.024,3.8,1.6,84800000000,17.6,IM
Al0.4Hf0.6NbTaTiZr,6,Al Hf Nb Ta Ti Zr,0.4 0.6 1 1 1 1,1.48872,0.049230841,2397.1976,-6.3296,8.313593039,1.744040246,1.4788,0.115838508,4.32,0.61449166,1.29E+11,48.59128225,SS
Ni50Nb20Hf5Ti25,4,Ni Nb Hf Ti,50 20 5 25,1.3532,0.082227802,2024.55,-33.14,9.625171219,1.164821377,1.725,0.194486503,7.2,2.821347196,1.57E+11,31,AM
Cu50Zr47Al3,3,Cu Zr Al,50 47 3,1.43537,0.111447554,1707.0491,-24.1616,3.730041616,0.806630942,1.6234,0.280568067,7.47,3.533992077,1.06E+11,34.43926421,AM
Cu54Zr42.5Al3.5,3,Cu Zr Al,54 42.5 3.5,1.421515,0.111504929,1670.26725,-23.8076,4.005775791,0.813732865,1.6476,0.278065172,7.745,3.531285177,1.08E+11,34.28915069,AM
AlCu2Ti,3,Al Cu Ti,1 2 1,1.3625,0.062505012,1397.5025,-12.5,6.099436449,1.039720771,1.7375,0.164373812,7.25,3.766629793,1.17E+11,26.39602243,IM
NbTaTiV,4,Nb Ta Ti V,1 1 1 1,1.40925,0.039347075,2541,-0.25,0.824431622,1.386294361,1.5675,0.050682837,4.75,0.433012702,1.60E+11,32.40370349,SS
Ni50Nb50,2,Ni Nb,50 50,1.3375,0.068411215,2239,-30,0,0.693147181,1.755,0.155,7.5,2.5,1.75E+11,5,AM
FeCoNi,3,Fe Co Ni,1 1 1,1.246,0.003276471,1769,-1.333333333,0.509175077,1.098612289,1.873333333,0.032998316,9,0.816496581,1.77E+11,4.714045208,SS
Cu2In,2,Cu In,2 1,1.372,0.096892183,1048.43,8.888888889,0.523782801,0.636514168,1.86,0.056568542,8.333333333,3.771236166,1.04E+11,50.28472023,IM
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,1.2773,0.037337176,1776.3,-4.04,2.35257816,1.557113098,1.733,0.146359147,7.8,1.4,1.56E+11,24.57641145,IM+SS
BCaNi4,3,B Ca Ni,1 1 4,1.296666667,0.263224514,1729.166667,-16.22222222,4.135065348,0.867563228,1.78,0.352041664,7.5,3.547299442,1.76E+11,87.63640162,IM
CrSi2,2,Cr Si,1 2,1.185,0.038189733,1851.333333,-32.88888889,1.937996363,0.636514168,1.82,0.113137085,4.666666667,0.942809042,1.20E+11,28.28427125,IM
