Alloy,No,Component,Fraction,delta,D_elec_nega,VEC,BulkModulus,omega,Phase_inshort
AuCdSn,3,Au Cd Sn,1 1 1,0.048422536,0.354620298,9,1.07E+11,95.60398792,IM
Al4(TiVCrCuFeMnCoNi)6,9,Al Ti V Cr Cu Fe Mn Co Ni,6 1 1 1 1 1 1 1 1,0.062761859,0.128864745,5.571428571,1.20E+11,146.5049113,IM+SS
Cr6Fe18Mo5,3,Cr Fe Mo,6 18 5,0.035956752,0.155830787,7.24137931,1.78E+11,1400.926346,IM
CrMnFe1.5Ni0.5Al0.5 ,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 0.5,0.051632523,0.128764308,7,1.47E+11,361.1377915,IM+SS
Ni61Zr27Nb7Al5,4,Ni Zr Nb Al,61 27 7 5,0.114578677,0.254342505,7.68,1.45E+11,43.63942647,AM
TiZrHfCuNi,5,Ti Zr Hf Cu Ni,1 1 1 1 1,0.103363704,0.265525893,6.6,1.22E+11,113.6579642,AM
CoFeReRu,4,Co Fe Re Ru,1 1 1 1,0.043717578,0.145150784,8,2.35E+11,2228.468185,SS
SrCaYbMgZn,5,Sr Ca Yb Mg Zn,1 1 1 1 1,0.152531711,0.255765518,4.2,34978787879,119.5468891,AM
CoCrMnNiV,5,Co Cr Mn Ni V,1 1 1 1 1,0.033312919,0.142912561,7.4,1.60E+11,330.9936127,SS
B6Co21V2,3,B Co V,6 21 2,0.152300645,0.096722755,7.482758621,2.08E+11,72.85265042,IM
Cu0.5NiAlCoCrFeSi,7,Cu Ni Al Co Cr Fe Si,0.5 1 1 1 1 1 1,0.063547119,0.117574099,7,1.44E+11,141.4808845,AM
AlCrCuFeNi,5,Al Cr Cu Fe Ni,1 1 1 1 1,0.056280862,0.124161186,7.6,1.45E+11,644.599197,SS
CoCrCuFeNiZr ,6,Co Cr Cu Fe Ni Zr,1 1 1 1 1 1,0.099876652,0.206512039,8,1.50E+11,226.8526679,AM+IM
CuNi2FeCrAl0.9,5,Cu Ni Fe Cr Al,1 2 1 1 0.9,0.051473308,0.121384809,8.084745763,1.52E+11,487.5954928,SS
Mg65Cu15Zn10Y10,4,Mg Cu Zn Y,65 15 10 10,0.094555407,0.227382387,4.45,61350000000,172.1215242,AM
Al0.5CoCrCuFeNiV0.6 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.6,0.04093038,0.117586817,7.950819672,1.58E+11,818.571258,IM+SS
FeCoNiCrCuAl0.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.3,0.034226856,0.103682636,8.471698113,1.61E+11,19079.22912,SS
AlCo3CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3 1 0.5 1 1,0.048828481,0.110493841,7.933333333,1.59E+11,376.6608424,SS
Zr66Al8Cu12Ni14,4,Zr Al Cu Ni,66 8 12 14,0.099572308,0.250543409,5.6,94830000000,53.47152509,AM
AlCo,2,Al Co,1 1,0.067461796,0.135,6,1.28E+11,49.27674513,IM
CoTi,2,Co Ti,1 1,0.077773682,0.17,6.5,1.45E+11,45.90862311,IM
AlCoCuNi,4,Al Co Cu Ni,1 1 1 1,0.058520188,0.124599358,8.25,1.44E+11,250.7130681,SS
Ti50Ni20Cu25Sn5,4,Ti Ni Cu Sn,50 20 25 5,0.08076088,0.185404962,6.95,1.29E+11,99.83823017,AM
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3,5,Zr Nb Cu Ni Al,58.5 2.8 15.6 12.8 10.3,0.101110103,0.253052972,5.785,98905500000,63.68037122,AM
AlCoCrFeNiTi1.5,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1.5,0.074981813,0.145728125,6.461538462,1.43E+11,129.6839229,IM+SS
Al0.5CoCrCuFeNiTi1.2 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.2,0.067564849,0.144799967,7.507462687,1.49E+11,258.8771348,IM+SS
Fe73.5Si13.5B9Nb3Cu,5,Fe Si B Nb Cu,73.5 13.5 9 3 1,0.106166726,0.075999194,6.95,1.74E+11,67.03512507,SS
NbMoTaW,4,Nb Mo Ta W,1 1 1 1,0.023104619,0.363696302,5.5,2.28E+11,673.4724644,SS
BiCuMg,3,Bi Cu Mg,1 1 1,0.091859055,0.31030451,6,72000000000,1164.036024,IM
Au29Ag5.5Pd2.3Cu26.9Si16.3,5,Au Ag Pd Cu Si,29 5.5 2.3 26.9 16.3,0.085282886,0.303697468,9.545,1.59E+11,87.42661056,AM
Al2CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,2 1 1 0.5 1 1,0.064576019,0.128053243,6.846153846,1.40E+11,227.8268924,SS
AlBe4Mn,3,Al Be Mn,1 4 1,0.103826936,0.017950549,3,1.19E+11,191.7271356,IM
Ni50Nb50,2,Ni Nb,50 50,0.068411215,0.155,7.5,1.75E+11,51.73188461,AM
Mg65Cu25Gd10,3,Mg Cu Gd,65 25 10,0.105473258,0.263823331,4.35,68050000000,164.7644459,AM
Ni50Nb20Hf5Ti25,4,Ni Nb Hf Ti,50 20 5 25,0.082227802,0.194486503,7.2,1.57E+11,71.15990099,AM
Au2Pb,2,Au Pb,2 1,0.093996068,0.098994949,8.666666667,1.62E+11,390.8917049,IM
Ni57.5Zr35Al7.5,3,Ni Zr Al,57.5 35 7.5,0.120628776,0.27136645,7.375,1.34E+11,33.24755417,AM
MgNi2,2,Mg Ni,1 2,0.122659618,0.282842712,7.333333333,1.35E+11,261.3089571,IM
AlCu2Ti,3,Al Cu Ti,1 2 1,0.062505012,0.164373812,7.25,1.17E+11,116.2409901,IM
CuCoNiCrAl1.3Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.3 1,0.056863912,0.122938532,7.603174603,1.47E+11,457.1882414,SS
Cu2Sb,2,Cu Sb,2 1,0.018924114,0.070710678,9,1.07E+11,123.415096,IM
Al13Ru4,2,Al Ru,13 4,0.028281193,0.250267677,4.176470588,1.10E+11,47.91100656,IM
AlMoNbSiTaTiVZr,8,Al Mo Nb Si Ta Ti V Zr,1 1 1 1 1 1 1 1,0.086560415,0.240698852,4.5,1.40E+11,143.8123197,AM
B6Ni21Sb2,3,B Ni Sb,6 21 2,0.151921601,0.059264216,8.206896552,1.99E+11,100.905782,IM
FeCoNiCuAl,5,Fe Co Ni Cu Al,1 1 1 1 1,0.056094722,0.111462998,8.2,1.49E+11,463.2157394,SS
Ni57.5Zr30Nb5Al7.5,4,Ni Zr Nb Al,57.5 30 5 7.5,0.116152692,0.259867274,7.425,1.39E+11,41.79459596,AM
Be2Ti,2,Be Ti,2 1,0.127043392,0.014142136,2.666666667,1.23E+11,40.26747755,IM
Sr40Al20Co20Y20,4,Sr Al Co Y,40 20 20 20,0.209138042,0.369182882,3.8,64157575758,180.1845858,AM
Gd40Al24Co20Y16,4,Gd Al Co Y,40 24 20 16,0.144754321,0.27646743,4.2,76000000000,57.87307744,AM
Zr66Al8Cu7Ni19,4,Zr Al Cu Ni,66 8 7 19,0.101361866,0.251345877,5.55,96830000000,47.38211153,AM
AuPb2,2,Au Pb,1 2,0.088137956,0.098994949,6.333333333,1.04E+11,302.9668202,IM
YGdTbDyLu,5,Y Gd Tb Dy Lu,1 1 1 1 1,0.013719577,0.056,3,41340000000,0,SS
Al2B6Co20,3,Al B Co,2 6 20,0.161583745,0.102312546,7.285714286,2.03E+11,74.8938365,IM
FeNiCrCoAl2.5,5,Fe Ni Cr Co Al,1 1 1 1 2.5 ,0.068416796,0.127246674,6.230769231,1.35E+11,142.6306791,SS
Cu2Mg,2,Cu Mg,2 1,0.109884768,0.278128667,8,1.08E+11,289.4977826,IM
CoCrFeNiAl0.25,5,Co Cr Fe Ni Al,1 1 1 1 0.25,0.034780138,0.106026046,7.941176471,1.67E+11,411.0766165,SS
Au3In2,2,Au In,3 2,0.038818129,0.372322441,7.8,1.45E+11,62.09412132,IM
Al45Cr7,2,Al Cr,45 7,0.044380905,0.017065615,3.403846154,87307692308,93.36877747,IM
Sb3Y5,2,Sb Y,3 5,0.140619088,0.401822022,3.75,41375000000,15.18526313,IM
CuNi2FeCrAl0.4,5,Cu Ni Fe Cr Al,1 2 1 1 0.4,0.03859423,0.110398952,8.555555556,1.59E+11,1496.405452,SS
Al2CaSi2,3,Al Ca Si,2 1 2,0.210275543,0.328670047,3.2,73800000000,38.4461542,IM
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,0.07240603,0.154774358,7.428571429,1.50E+11,226.3270447,IM+SS
Al0.5NbTa0.8Ti1.5V0.2Zr,6,Al Nb Ta Ti V Zr,0.5 1 0.8 1.5 0.2 1,0.049265412,0.099721412,4.3,1.27E+11,435.5608033,SS
TaNbVTiAl0.5,5,Ta Nb V Ti Al,1 1 1 1 0.5,0.037375048,0.049615808,4.555555556,1.51E+11,444.9226413,SS
CuNbNiTiZr,5,Cu Nb Ni Ti Zr,1 1 1 1 1,0.09258017,0.222225111,6.8,1.34E+11,149.8224845,AM
Ni65Nb5Cr5Mo5P14B6,6,Ni Nb Cr Mo P B,65 5 5 5 14 6,0.107040659,0.148501683,8.23,1.66E+11,68.89039088,AM
NbTaTiV,4,Nb Ta Ti V,1 1 1 1,0.039347075,0.050682837,4.75,1.60E+11,14090.29589,SS
AlB2,2,Al B,1 2,0.281737858,0.202703944,3,2.39E+11,0,IM
B2NiTa,3,B Ni Ta,2 1 1,0.247492994,0.221514672,5.25,2.55E+11,54.59377065,IM
CuNiCoFeMn,5,Cu Ni Co Fe Mn,1 1 1 1 1,0.031789341,0.134848063,9,1.58E+11,1496.735193,SS
CoCrCuFeMnNi,6,Co Cr Cu Fe Mn Ni,1 1 1 1 1 1,0.029966526,0.135820552,8.5,1.58E+11,2142.62112,SS
Al0.5CoCrFeNi,5,Al Co Cr Fe Ni,0.5 1 1 1 1,0.046023145,0.112546287,7.666666667,1.62E+11,307.5554519,SS
FeCoNiCrAlCu,6,Fe Co Ni Cr Al Cu,1 1 1 1 1 1,0.052811306,0.119082138,7.833333333,1.51E+11,611.1716551,IM+SS
Cu46Zr42Al7Y5,4,Cu Zr Al Y,46 42 7 5,0.118644069,0.28143438,7.1,1.02E+11,71.14195395,AM
Mo5Si3,2,Mo Si,5 3,0.079163568,0.125871959,5.25,1.81E+11,49.24802756,IM
Cu50Zr45Al5,3,Cu Zr Al,50 45 5,0.110454894,0.277432875,7.45,1.06E+11,58.16880667,AM
Zr41Ti14Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41 14 12.5 10 22.5,0.139805008,0.219468625,5.025,1.09E+11,76.68350663,AM
CrSi2,2,Cr Si,1 2,0.038189733,0.113137085,4.666666667,1.20E+11,35.82972657,IM
Al3Zr4,2,Al Zr,3 4,0.055319516,0.138564065,3.571428571,73047619048,25.60480839,IM
MoSi2,2,Mo Si,1 2,0.080944358,0.122565175,4.666666667,1.43E+11,42.7601125,IM
AlTiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1 1,0.06034157,0.145754741,7,1.44E+11,295.499368,SS
AuCu3,2,Au Cu,1 3,0.053839335,0.277128129,11,1.60E+11,112.6886307,IM
Gd46Al24Co20Y20,4,Gd Al Co Y,36 24 20 20,0.144772104,0.275806889,4.2,76120000000,59.58506845,AM
AlNbTiV,4,Al Nb Ti V,1 1 1 1,0.0394704,0.03354102,4.25,1.29E+11,166.5146405,SS
Mg6Pd,2,Mg Pd,6 1,0.050412957,0.311435124,3.142857143,64285714286,22.02766785,IM
Ni3Sn4,2,Ni Sn,3 4,0.126793306,0.024743583,6.571428571,1.10E+11,179.3709355,IM
Nd60Al10Ni10Cu16Fe4,5,Nd Al Ni Cu Fe,60 10 10 16 4,0.113487044,0.343804828,5.18,74000000000,62.76929353,AM
SrCaYbMgZn0.5Cu0.5,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 0.5 0.5,0.163688622,0.305681206,4.1,41978787879,171.6808277,AM
Cu0.5Ti0.5CrFeCoNiAl0.5,7,Cu Ti Cr Fe Co Ni Al,0.5 0.5 1 1 1 1 0.5,0.059680175,0.130877521,7.636363636,1.55E+11,304.9527927,SS
Al4Li9,2,Al Li,4 9,0.026908604,0.290769231,1.615384615,31000000000,108.8983474,IM
CrNbTiZr ,4,Cr Nb Ti Zr,1 1 1 1,0.087813408,0.12437343,4.75,1.28E+11,623.7631477,IM+SS
Cu0.5NiCoCrAl0.5Fe2,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 2,0.040841549,0.101854335,8,1.61E+11,827.0532628,SS
Mg2Ni9Y,3,Mg Ni Y,2 9 1,0.139676664,0.273621545,8.083333333,1.46E+11,114.4623009,IM
Cu2In,2,Cu In,2 1,0.096892183,0.056568542,8.333333333,1.04E+11,75.07581178,IM
Al4Cu5,2,Al Cu,4 5,0.056833548,0.144102159,7.444444444,1.12E+11,813.2300093,IM
CuNiCoFeCrAl0.5V0.2,7,Cu Ni Co Fe Cr Al V,1 1 1 1 1 0.5 0.2,0.041456981,0.112681576,8.157894737,1.58E+11,1271.229529,SS
AlCoCrCuFeMoNiTiV,9,Al Co Cr Cu Fe Mo Ni Ti V Zr,1 1 1 1 1 1 1 1 1,0.060852754,0.185738433,6.888888889,1.56E+11,365.843119,SS
AlCuMg,3,Al Cu Mg,1 1 1,0.091796511,0.240878024,5.333333333,87000000000,441.4004453,IM
Cu60Zr20Hf10Ti10,4,Cu Zr Hf Ti,60 20 10 10,0.103280651,0.264272587,8.2,1.20E+11,106.177956,AM
AlCoCrCuFeNiTiV,8,Al Co Cr Cu Fe Ni Ti V,1 1 1 1 1 1 1 1,0.063384349,0.140267601,7,1.47E+11,259.2726043,SS
AlCoCrFeNi,5,Al Co Cr Fe Ni,1 1 1 1 1,0.057778896,0.120565335,7.2,1.53E+11,220.0036308,IM+SS
Nd60Al10Ni10Cu10Fe10,5,Nd Al Ni Cu Fe,60 10 10 10 10,0.115754332,0.338214429,5,75800000000,75.44000642,AM
Mg80Ni10Nd10,3,Mg Ni Nd,80 10 10,0.069087087,0.192460386,2.9,57200000000,151.1310349,AM
Mg2Sm1,2,Mg Sm,2 1,0.058972593,0.065996633,2.333333333,42666666667,126.9507617,IM
B6Co21Sb2,3,B Co Sb,6 21 2,0.152900334,0.07266459,7.482758621,1.99E+11,107.3794598,IM
Cd5Li4Mg,3,Cd Li Mg,5 4 1,0.018269005,0.335255127,6.6,29900000000,46.42624053,IM
Al16Ru8Ti6,3,Al Ru Ti,16 8 6,0.032989908,0.270669951,4.533333333,1.21E+11,47.06522489,IM
Fe89Zr5B6,3,Fe Zr B,89 5 6,0.106093361,0.122442803,7.5,1.74E+11,72.32184971,SS
Al5Hf4Ni16,3,Al Hf Ni,5 4 16,0.09582442,0.229560972,7.64,1.48E+11,45.59114864,IM
AlCrMoTaTiZr,6,Al Cr Mo Ta Ti Zr,1 1 1 1 1 1,0.074763443,0.257272013,4.666666667,1.41E+11,247.7905108,AM
Mg17Sr2,2,Mg Sr,17 2,0.101927429,0.110481194,2,41515151515,209.0906702,IM
CrHfNbTiZr ,5,Cr Hf Nb Ti Zr,1 1 1 1 1,0.086265386,0.144996552,4.6,1.24E+11,925.8291589,IM+SS
BIn2Ni7,3,B In Ni,1 2 7,0.152853149,0.070007142,7.9,1.65E+11,294.9670727,IM
AuGa2,2,Au Ga,1 2,0.016732295,0.3441253,5.666666667,1.11E+11,24.41136524,IM
Co1.5Cr2Fe1.5NiAlMn2V ,7,Co Cr Fe Ni Al Mn V,1.5 2 1.5 1 1 2 1,0.048379564,0.133201914,6.95,1.50E+11,330.3031444,IM
Cr9Mo21Ni20,3,Cr Mo Ni,9 21 20,0.04422124,0.184119526,7.6,1.97E+11,355.7792274,IM
Al86Y4.5Ni8La1.5,4,Al Y Ni La,86 4.5 8 1.5,0.075581826,0.133957307,3.56,82025000000,38.38823381,AM
Al0.5CoCrCuFeNiTi0.4,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.4,0.054909985,0.126242176,7.983050847,1.55E+11,504.634759,SS
MnCrFe1.5Ni0.5Al0.3,5,Mn Cr Fe Ni Al,1 1 1.5 0.5 0.3,0.047027487,0.129693652,7.186046512,1.51E+11,473.1479856,SS
Ti50Ni24Cu20BSi2Sn3,6,Ti Ni Cu B Si Sn,50 24 20 1 2 3,0.090987912,0.186313285,6.83,1.33E+11,82.63219558,AM
B4Fe4Nd,3,B Fe Nd,4 4 1,0.251152365,0.268741925,5.222222222,2.21E+11,64.02798802,IM
Ca6.23Mg3.78Sn7,3,Ca Mg Sn,6.23 3.78 7,0.100146686,0.43053994,2.823045267,40094650206,27.08154179,IM
HfMoNbTiZr,5,Hf Mo Nb Ti Zr,1 1 1 1 1,0.060972711,0.309554519,4.6,1.38E+11,2458.61759,SS
Dy4Sb3,2,Dy Sb,4 3,0.138739051,0.410743477,3.857142857,41428571429,14.04874902,IM
Ni57.5Zr32Nb3Al7.5,4,Ni Zr Nb Al,57.5 32 3 7.5,0.118018115,0.264609599,7.405,1.37E+11,38.8787751,AM
Mg3Sm1,2,Mg Sm,3 1,0.054740453,0.060621778,2.25,43250000000,128.5295076,IM
Gd56Al24Co20,3,Gd Al Co,56 24 20,0.144683106,0.27907103,4.2,75520000000,42.05946742,AM
Ni3Sn,2,Ni Sn,3 1,0.120900896,0.021650635,8.5,1.50E+11,266.5974689,IM
CaAlZn,3,Ca Al Zn,1 1 1,0.165893148,0.297433466,5.666666667,54333333333,55.08770262,IM
Al0.5CrFeNiCoCuTi0.6,7,Al Cr Fe Ni Co Cu Ti,0.5 1 1 1 1 1 0.6,0.059215207,0.132308387,7.852459016,1.53E+11,391.8019831,SS
Cu10Sn3,2,Cu Sn,10 3,0.106191108,0.025279503,9.384615385,1.21E+11,126.1815395,IM
FeCoNiMnV,5,Fe Co Ni Mn V,1 1 1 1 1,0.034408139,0.143387587,7.8,1.62E+11,323.6479051,IM+SS
Al3Zr,2,Al Zr,3 1,0.050208627,0.121243557,3.25,74708333333,20.99559206,IM
Al8V5,2,Al V,8 5,0.040676892,0.009730085,3.769230769,1.08E+11,62.19706137,IM
Ag7Sb,2,Ag Sb,7 1,0.026584657,0.03968627,10.25,92750000000,256.9650543,IM
MgCu,2,Mg Cu,50 50,0.112191733,0.295,6.5,92500000000,263.4848827,AM
CaAl2Zn2,3,Ca Al Zn,1 2 2,0.14784248,0.252634123,6.4,61800000000,71.98676328,IM
Be3Nb,2,Be Nb,3 1,0.108320651,0.012990381,2.75,1.40E+11,55.70866836,IM
Cu4Ce,2,Cu Ce,4 1,0.15770506,0.312,9.4,1.16E+11,48.41750883,IM
SrCaYbMgZnCu,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 1 1,0.181418082,0.349543353,5.333333333,52482323232,141.9084887,AM
Mg32Al24.5Zn24.5,3,Mg Al Zn,32 24.5 24.5,0.062373018,0.157207959,5.327160494,61938271605,373.2429187,IM
Co5Cr2Mo3,3,Co Cr Mo,5 2 3,0.04017462,0.177763888,7.5,1.91E+11,489.9357646,IM
Cu60.3Zr37.2Al2.5,3,Cu Zr Al,60.3 37.2 2.5,0.111180044,0.273636978,8.196,1.13E+11,55.96503753,AM
La55Al25Ni5Cu10Co5,5,La Al Ni Cu Co,55 25 5 10 5,0.16166711,0.331483031,4.45,66400000000,44.76548144,AM
Ca65Mg15Zn20,3,Ca Mg Zn,65 15 20,0.134526416,0.260312793,4,31800000000,62.27232667,AM
AlLa,2,Al La,1 1,0.13500453,0.255,3,52000000000,19.39416692,IM
TiZrNbMoV0.5,5,Ti Zr Nb Mo V,1 1 1 1 0.5,0.065542048,0.289524941,4.777777778,1.47E+11,1423.8408,SS
AlCrMnTiV,5,Al Cr Mn Ti V,1 1 1 1 1,0.056812817,0.04621688,5,1.25E+11,189.421973,IM
AlNi,2,Al Ni,1 1,0.069454817,0.15,6.5,1.28E+11,41.92705518,IM
Cu58.1Zr35.9Al6,3,Cu Zr Al,58.1 35.9 6,0.109164109,0.269049771,8.007,1.11E+11,59.29207199,AM
CrMnFe1.5Ni0.5Al1.2,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 1.2,0.060300355,0.124976329,6.461538462,1.38E+11,222.7236113,SS
Ni57Zr20Ti18Pd5,4,Ni Zr Ti Pd,57 20 18 5,0.106578606,0.260517543,7.72,1.46E+11,47.73841104,AM
CoCuFeNiV,5,Co Cu Fe Ni V,1 1 1 1 1,0.022034208,0.10373042,8.6,1.66E+11,1271.4229,SS
Ti53Cu27Ni12Zr3Al7Si3B,7,Ti Cu Ni Zr Al Si B,53 27 12 3 7 3 1,0.086004211,0.185603324,6.386792453,1.24E+11,93.70497977,AM
AlCoCrCu0.5Ni,5,Al Co Cr Cu Ni,1 1 1 0.5 1,0.058053397,0.13114877,7.444444444,1.48E+11,251.7285262,SS
AlNi2Ti,3,Al Ni Ti,1 2 1,0.075052471,0.169318487,6.75,1.37E+11,45.70778576,IM
Ag5Cd8,2,Ag Cd,5 8,0.039350514,0.116761021,11.61538462,64307692308,295.8054121,IM
B4InNi15,3,B In Ni,4 1 15,0.162153915,0.062006048,8.25,2.01E+11,91.81672927,IM
FeCoNiCrCuAl3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 3.0,0.066100026,0.131475996,6.625,1.32E+11,229.7975663,SS
Zr41.2Ti13.8Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41.2 13.8 12.5 10 22.5,0.139912901,0.219674138,5.025,1.09E+11,76.47996985,AM
CoCrCu0.5FeNi,5,Co Cr Cu Fe Ni,1 1 0.5 1 1,0.008353125,0.094568546,8.555555556,1.69E+11,5809.963387,SS
NiCoFeCrAl0.3,5,Ni Co Fe Cr Al,1 1 1 1 0.3,0.037575522,0.107516334,7.88372093,1.66E+11,383.3379418,SS
Nd60Al10Ni10Cu18Fe2,5,Nd Al Ni Cu Fe,60 10 10 18 2,0.112719829,0.345636861,5.24,73400000000,57.92898647,AM
CrCuFeMoNi,5,Cr Cu Fe Mo Ni,1 1 1 1 1,0.035802288,0.161170717,8.2,1.76E+11,691.8342296,SS
Mg75Ni15Nd10,3,Mg Ni Nd,75 15 10,0.0830859,0.227070474,3.3,63950000000,146.2326122,AM
Ag3Sn,2,Ag Sn,3 1,0.050899898,0.012990381,9.25,89500000000,263.0397619,IM
Al0.5CoCrCuFeNiTi0.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.8,0.062616077,0.137280024,7.73015873,1.52E+11,328.2187541,IM+SS
Cu0.5NiCoCrAl0.5Fe3,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3,0.038435999,0.094537003,8,1.63E+11,971.4370716,SS
AlCrTiVZr,5,Al Cr Ti V Zr,1 1 1 1 1,0.086809189,0.118760263,4.4,1.15E+11,148.3577016,IM
CuCoNiCrAl2.5Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 2.5 1,0.064784844,0.130459019,6.866666667,1.36E+11,260.5806465,SS
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,0.07240603,0.154774358,7.428571429,1.50E+11,226.3270447,IM
AlCoCrCuFe0.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 1 0.5 1,0.054035009,0.123976804,7.818181818,1.49E+11,513.4933548,SS
AuCu,2,Au Cu,1 1,0.060294118,0.32,11,1.80E+11,103.7833871,IM
Fe91Hf7B2,3,Fe Hf B,91 7 2,0.084490513,0.139508387,7.62,1.69E+11,86.03896718,SS
AlSb,2,Al Sb,1 1,0.036929761,0.22,4,59000000000,318.3711646,IM
Ni57.5Zr26Nb9Al7.5,4,Ni Zr Nb Al,57.5 26 9 7.5,0.112094334,0.249763008,7.465,1.43E+11,46.96460775,AM
BCr2,2,B Cr,1 2,0.182850397,0.179133718,5,2.13E+11,51.65004482,IM
Cu43Zr43Al7Ag7,4,Cu Zr Al Ag,43 43 7 7,0.104648958,0.276279044,7.43,1.03E+11,73.46145579,AM
CrCuFeNiZr,5,Cr Cu Fe Ni Zr,1 1 1 1 1,0.106086283,0.217310837,7.8,1.44E+11,205.7570251,SS
AlCo3.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3.5 1 0.5 1 1,0.047546288,0.108195425,8,1.61E+11,378.4648958,SS
AuSn4,2,Au Sn,1 4,0.044938147,0.232,5.4,90400000000,52.50550622,IM
Co1.5Cr0.5FeMn0.5Ni,5,Co Cr Fe Mn Ni,1.5 0.5 1 0.5 1,0.025893325,0.11805,8.444444444,1.69E+11,776.1118452,SS
Ni60Nb20Hf10Ti10,4,Ni Nb Hf Ti,60 20 10 10,0.088571907,0.21099763,7.8,1.64E+11,68.27470059,AM
Ce60Al10Ni10Cu20,4,Ce Al Ni Cu,60 10 10 20,0.15889284,0.356992997,5.3,66800000000,48.38967355,AM
AlCu2Mn,3,Al Cu Mn,1 2 1,0.047586315,0.161400124,8,1.19E+11,413.3297955,IM
AlCoCrCuNi,5,Al Co Cr Cu Ni,1 1 1 1 1,0.055242051,0.129522199,7.8,1.47E+11,390.938357,SS
Zr39.88Ti15.12Ni9.98Cu13.77Be21.25,5,Zr Ti Ni Cu Be,39.88 15.12 9.98 13.77 21.25,0.137644169,0.221818855,5.1377,1.10E+11,79.40615713,AM
Cu55Zr40Al5,3,Cu Zr Al,55 40 5,0.110505978,0.274515482,7.8,1.09E+11,58.22844503,AM
FeCoNi,3,Fe Co Ni,1 1 1,0.003276471,0.032998316,9,1.77E+11,1457.583855,SS
Cd3Cu4,2,Cd Cu,3 4,0.10234204,0.103923048,11.42857143,98000000000,119.7369813,IM
Al85.8Ni9.1Y5.1,3,Al Ni Y,85.8 9.1 5.1,0.070176939,0.126064237,3.637,83679000000,37.33377909,AM
B6CaNi11,3,B Ca Ni,6 1 11,0.246821208,0.227127119,7.222222222,2.18E+11,71.07076151,IM
HfB2,2,Hf B,1 2,0.333118049,0.348839345,3.333333333,2.50E+11,26.04644908,IM
CoCrMnNi,4,Co Cr Mn Ni,1 1 1 1,0.034469929,0.150499169,8,1.60E+11,453.3812694,SS
Al18Cr2Mg3,3,Al Cr Mg,18 2 3,0.056489644,0.103666252,3.130434783,79260869565,284.5100506,IM
Fe2Si,2,Fe Si,2 1,0.034236807,0.032998316,6.666666667,1.47E+11,36.20628984,IM
BNi3,2,B Ni,1 3,0.16188101,0.056291651,8.25,2.15E+11,58.82650434,IM
SmFe6Ti6N,4,Sm Fe Ti N,1 6 6 1,0.168733208,0.405599204,5.714285714,1.23E+11,38.61454532,IM
AlCoCrFeNb0.25Ni,6,Al Co Cr Fe Nb Ni,1 1 1 1 0.25 1,0.060986832,0.123615232,7.095238095,1.54E+11,204.0787442,IM+SS
AlCo2CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 2 1 0.5 1 1,0.051715835,0.115317929,7.769230769,1.56E+11,373.2129232,SS
Al2Li3Si2,3,Al Li Si,2 3 2,0.110750648,0.398881088,2.428571429,55000000000,155.826942,IM
Al17Sb3,2,Al Sb,17 3,0.025708537,0.157111425,3.3,70900000000,385.0036446,IM
Si2V,2,Si V,2 1,0.063643515,0.127279221,4.333333333,1.20E+11,27.63366586,IM
BCo2,2,B Co ,1 2,0.183481651,0.075424723,7,2.27E+11,58.51952132,IM
Zr70Pd30,2,Zr Pd,70 30,0.068084664,0.398684085,5.8,1.04E+11,16.28663802,AM
B2Mo2Ni,3,B Mo Ni,2 2 1,0.223251437,0.093037627,5.6,2.56E+11,81.35672205,IM
TiCrFeMnCoNi,6,Ti Cr Fe Mn Co Ni,1 1 1 1 1 1,0.062927534,0.151813116,7.333333333,1.53E+11,243.1536064,IM+SS
