Alloy,No,Component,Fraction,delta,omega,Phase_inshort
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,0.061258363,169.0176279,SS
AlMnSi,3,Al Mn Si,1 1 1,0.089262097,41.09342721,IM
CoFeNi2V0.5Nb0.75,5,Co Fe Ni V Nb,1 1 2 0.5 0.75,0.050580504,183.1403202,IM+SS
FeSi2,2,Fe Si,1 1,0.036758563,34.63755484,IM
Ag2Ga3,2,Ag Ga,2 3,0.018372906,94.742937,IM
Al85.8Co9.1Y5.1,3,Al Co Y,85.8 9.1 5.1,0.069566942,40.64631818,AM
CoCrCuFeZr0.8 ,5,Co Cr Cu Fe Zr,1 1 1 1 0.8,0.099335677,304.556572,AM+IM
B6Ni20Ti3,3,B Ni Ti,6 20 3,0.165267647,53.554424,IM
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,0.042011454,572.3457697,IM+SS
Al3Nb10Ni9,3,Al Nb Ni,3 10 9,0.066679566,65.49642733,IM
AlCo1.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1.5 1 0.5 1 1,0.053348519,371.3288622,SS
Cr45Co34Nb7B14,4,Cr Co Nb B,45 34 7 14,0.133726928,123.6008105,AM
AlCoCrFeNiTi,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1,0.072207879,143.5458401,IM+SS
Mg50Ni50,2,Mg Ni,50 50,0.124692659,229.6916471,AM
HoDyYGdTb,5,Ho Dy Y Gd Tb,1 1 1 1 1,0.008091442,0,SS
Al2TiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,2 1 1 1 1 1 1 1 1,0.062715627,229.2154613,SS
La55Al25Ni5Cu15,4,La Al Ni Cu,55 25 5 15,0.160356368,40.99682839,AM
Co0.5Cr0.5Fe0.5NiAlMnV0.5,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 0.5,0.05559264,192.7237123,SS
Cu3MgSi,3,Cu Mg Si,3 1 1,0.113647474,86.29011679,IM
Al2Ce,2,Al Ce,2 1,0.118529736,18.45434639,IM
Bi2Mg3,2,Bi Mg,2 3,0.054660413,54.09892117,IM
Zr42.63Ti12.37Cu11.25Ni10Be23.75,5,Zr Ti Cu Ni Be,42.63 12.37 11.25 10 23.75,0.142199464,73.41918571,AM
Cu17Sn3,2,Cu Sn,17 3,0.091866716,145.6234584,IM
Al6CuMg4,3,Al Cu Mg,6 1 4,0.06856518,406.7038229,IM
Mg65Ni20Nd15,3,Mg Ni Nd,65 20 15,0.094776924,125.9674863,AM
ZrHfTiCuCo,5,Zr Hf Ti Cu Co,1 1 1 1 1,0.102415552,132.7617943,AM
Ce57Al10Ni12.5Cu15.5Nb5,5,Ce Al Ni Cu Nb,57 10 12.5 15.5 5,0.158234464,71.80464379,AM
Al11Mn4,2,Al Mn,11 4,0.025715132,42.51599345,IM
Al1.5CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1.5 1 1 0.5 1 1,0.061149968,274.8988345,SS
CoFeMnNiV,5,Co Fe Mn Ni V,1 1 1 1 1,0.034408139,323.6479051,SS
Mg65Cu25Y10,3,Mg Cu Y,65 25 10,0.10557074,167.9607179,AM
Al9Mn4Si3,3,Al Mn Si,9 4 3,0.077075001,44.27704879,IM
AlBeTi,3,Al Be Ti,1 1 1,0.112538012,60.89704047,IM
CuTiZn,3,Cu Ti Zn,1 1 1,0.055165568,142.9909572,IM
Pd77Cu6Si17,3,Pd Cu Si,77 6 17,0.063041941,37.06764408,AM
Cu53.2Zr41.8Al5,3,Cu Zr Al,53.2 41.8 5,0.110625144,58.15938824,AM
Ag4Sn,2,Ag Sn,4 1,0.047297297,283.8115748,IM
CuCoNiCrAl0.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 0.8 1,0.049216676,818.2859273,SS
Al2Ru,2,Al Ru,2 1,0.031636381,50.85225349,IM
Al2Mn,2,Al Mn,2 1,0.027519106,42.53681808,IM
AlCoCr0.5Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 0.5 0.5 1 1,0.056983974,336.5599029,SS
AlCoCrCu0.5FeNi0.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 0.5,0.056845453,395.4932743,SS
Ho35Al24Co20Y21,4,Ho Al Co Y,35 24 20 21,0.139546791,62.77914357,AM
FeNi2CrCuAl0.8,5,Fe Ni Cr Cu Al,1 2 1 1 0.8,0.049557717,553.1401467,SS
CuMg2,2,Cu Mg,1 2,0.101962272,254.9056244,IM
Ni57.5Zr24Nb11Al7.5,4,Ni Zr Nb Al,57.5 24 11 7.5,0.109887013,49.32268503,AM
TiZrNbMoV1.5,5,Ti Zr Nb Mo V,1 1 1 1 1.5,0.070059046,1388.912876,SS
ZrTi,2,Zr Ti,50 50,0.046003263,0,AM
BCaNi4,3,B Ca Ni,1 1 4,0.263224514,92.4757037,IM
Al8Mn5,2,Al Mn,8 5,0.028485858,42.91707218,IM
AlCoCrCu0.5Fe1.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1.5 1,0.053707931,408.3278255,SS
TaNbVTiAl0.25,5,Ta Nb V Ti Al,1 1 1 1 0.25,0.038324397,776.3342956,SS
Al20Li20Mg10Sc20Ti30,5,Al Li Mg Sc Ti,20 20 10 20 30,0.051625095,5118.355322,SS
Ag2Al,2,Ag Al,2 1,0.004253766,203.0876027,IM
B2CoW2,3,B Co W,2 1 2,0.224540442,104.9918391,IM
CuZr,2,Cu Zr ,50 50,0.112808053,52.52503585,AM
CdSn10,2,Cd Sn,1 10,0.009254752,0,IM
Al21Cu2Mn3,3,Al Cu Mn,21 2 3,0.032839485,88.99525235,IM
Ti50Ni20Cu25Sn3Be7,5,Ti Ni Cu Sn Be,50 20 25 3 7,0.088739237,104.4072763,AM
AlCo0.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 0.5 1 0.5 1 1,0.057070382,362.6513595,SS
Zr46.75Ti8.25Cu7.5Ni10Be27.5,5,Zr Ti Cu Ni Be,46.75 8.25 7.5 10 27.5,0.14876022,64.0287244,AM
Al7Cu3Mg6,3,Al Cu Mg,7 3 6,0.080587476,423.7878513,IM
CdIn3Na2,3,Cd In Na,1 3 2,0.083774199,110.6311913,IM
Al0.5CoCrCuFeNiTi2.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 2.0,0.073088923,198.779108,IM+SS
Sm2Fe17Ni3,3,Sm Fe Ni,2 17 3,0.126309038,454.9359184,IM
NaZn13,2,Na Zn,1 13,0.083321563,108.2552223,IM
CoCrFeNiAl0.4MnV,7,Co Cr Fe Ni Al Mn V,1 1 1 1 0.4 1 1,0.043208028,331.466583,IM
Ni45Ti20Zr35,3,Ni Ti Zr,45 20 35,0.11328335,46.09058959,AM
Ni39.8Cu5.97Ti15.92Zr29.86Al9.95Si0.5,6,Ni Cu Ti Zr Al Si,39.8 5.97 15.92 29.86 9.95 0.5,0.1084412,58.41804509,AM
Al3In,2,Al In,3 1,0.037859034,86.49678533,IM
FeSi2,2,Fe Si,1 2,0.035086212,35.36063529,IM
Co2V3,2,Co V,2 3,0.02468478,101.0018253,IM
Sb3Y4,2,Sb Y,3 4,0.146013213,14.50999372,IM
Co0.5Cr0.5Fe0.5NiAlMnV,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 1,0.052998247,195.6773435,SS
Cu0.5NiAlCoCrFeTi,7,Cu Ni Al Co Cr Fe Ti,0.5 1 1 1 1 1 1,0.069893208,190.290825,AM
Cr50Co29Nb7B14,4,Cr Co Nb B,50 29 7 14,0.133713301,123.7767662,AM
AuPb3,2,Au Pb,1 3,0.07971782,294.209999,IM
AlNi6Ta,3,Al Ni Ta,1 6 1,0.061991805,66.0541875,IM
Mg65Cu20Ni5Gd10,4,Mg Cu Ni Gd,65 20 5 10,0.107344199,187.0890316,AM
B2Co3Zr,3,B Co Zr,2 3 1,0.235413601,44.98647039,IM
Al0.8CrCuFe1.5MnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1.5 1 1,0.050815514,872.1602568,SS
B2MgNi7,3,B Mg Ni,2 1 7,0.180114245,95.45843862,IM
Ag5Sn,2,Ag Sn,5 1,0.044241028,300.9627223,IM
Ni62Zr28Nb7Al3,4,Ni Zr Nb Al,62 28 7 3,0.11603108,42.24797639,AM
Ce70Al10Ni10Cu10,4,Ce Al Ni Cu,70 10 10 10,0.141207767,43.1147482,AM
Ni55Nb20Hf10Ti15,4,Ni Nb Hf Ti,55 20 10 15,0.088616557,71.19879555,AM
Cu51Hf14,2,Cu Hf,51 14,0.091855546,72.7708848,IM
CoCrCuFeNiTi2,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 2,0.07240603,226.3270447,AM+IM
NbCrFeMnCoNi,6,Nb Cr Fe Mn Co Ni,1 1 1 1 1 1,0.054946307,292.5545044,IM+SS
Tb36Al24Co20Y20,4,Tb Al Co Y,36 24 20 20,0.141642517,59.69501975,AM
Al5CuTi2,3,Al Cu Ti,5 1 2,0.038894433,55.22566395,IM
CdMg,2,Cd Mg,1 1,0.01041338,87.63806383,IM
CoCrFeNiAlNb0.1,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.1,0.059188612,214.3590312,SS
CuGeLi2,3,Cu Ge Li,1 1 2,0.094090991,39.94078725,IM
BeCuNiTiVZr,6,Be Cu Ni Ti V Zr,1 1 1 1 1 1,0.115004837,130.755687,AM+IM
AlMo,2,Al Mo,1 1,0.024686941,265.4386335,IM
Al4Cu3,2,Al Cu,4 3,0.055790802,777.5240267,IM
FeCoNiCrCuAl2.8,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.8,0.065658878,240.658075,SS
ZrHfTiCuFe,5,Zr Hf Ti Cu Fe,1 1 1 1 1,0.104324491,198.0049601,AM
Co63Fe9Zr8B20,4,Co Fe Zr B,63 9 8 20,0.1751633,71.32747563,AM
GdTbDyTmLu,5,Gd Tb Dy Tm Lu,1 1 1 1 1,0.050718319,0,SS
Be17Ti2,2,Be Ti,17 2,0.088123888,47.64037662,IM
Ni61Zr27Nb8Al4,4,Ni Zr Nb Al,61 27 8 4,0.114571912,44.195386,AM
Al0.8CrCuFeMn1.5Ni,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1 1.5 1,0.0505464,671.4120348,SS
Ca7Mg6Si14,3,Ca Mg Si,7 6 14,0.238544475,34.39161002,IM
Cu60Zr30Ti10,3,Cu Zr Ti,60 30 10,0.105535828,79.0097263,AM
FeNiCrMnTi,5,Fe Ni Cr Mn Ti,1 1 1 1 1,0.065935799,222.4854005,IM+SS
CoCrFeNiNb0.65,5,Co Cr Fe Ni Nb,1 1 1 1 0.65,0.049750744,262.0872579,IM+SS
Ni40Cu6Ti16Zr28Al10,5,Ni Cu Ti Zr Al,40 6 16 28 10,0.107382417,58.59120259,AM
La55Al25Ni10Cu10,4,La Al Ni Cu,55 25 10 10,0.161917819,40.50347296,AM
Ni60Zr28Nb7Al5,4,Ni Zr Nb Al,60 28 7 5,0.115247253,43.47043316,AM
AlCrCuFeNiTi,6,Al Cr Cu Fe Ni Ti,1 1 1 1 1 1,0.070092151,217.4418109,SS
FeCoNiCrCuAl2.0,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.0,0.062570461,309.1004558,SS
Cu47Ti34Zr11Ni8,4,Cu Ti Zr Ni,47 34 11 8,0.086264529,126.1987764,AM
Ti1Zr1Cu1Ni1Be1,5,Ti Zr Cu Ni Be,1 1 1 1 1,0.12527682,92.76376476,AM
Cu51.5Zr40.5Al8,3,Cu Zr Al,51.5 40.5 8,0.108847255,59.40038843,AM
TiZrNbMoV0.75,5,Ti Zr Nb Mo V,1 1 1 1 0.75,0.067275694,1417.532844,SS
AlCrNbTiV,5,Al Cr Nb Ti V,1 1 1 1 1,0.059023492,220.7996272,IM
NbTiVZr,4,Nb Ti V Zr,1 1 1 1,0.070483977,12479.42184,SS
FeCoNiCrCuAl2.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.3,0.06402995,277.1213104,SS
Ni55Nb20Hf5Ti20,4,Ni Nb Hf Ti,55 20 5 20,0.082439846,69.03925567,AM
Nd60Al15Ni10Cu10Fe5,5,Nd Al Ni Cu Fe,60 15 10 10 5,0.108609644,57.74407595,AM
Cu3Sb,2,Cu Sb,3 1,0.017441255,133.2758394,IM
Pd75Si25,2,Pd Si,75 25,0.072852459,24.43993742,AM
CoCrFeNiTi0.5 ,5,Co Cr Fe Ni Ti,1 1 1 1 0.5,0.05331036,257.1557766,IM+SS
La55Al25Ni20,3,La Al Ni,55 25 20,0.164996524,33.12930367,AM
Al11Cu11Mg4,3,Al Cu Mg,11 11 4,0.081527091,559.5169659,IM
FeNiCoSiCrAlTi,7,Fe Ni Co Si Cr Al Ti,1 1 1 1 1 1 1,0.080766107,95.63909113,SS
FeCrMnNiCo,5,Fe Cr Mn Ni Co,1 1 1 1 1,0.032694636,696.8556652,SS
AgTi3,2,Ag Ti,1 3,0.005049711,661.487015,IM
CuEr,2,Cu Er,1 1,0.157547792,47.13054257,IM
Zr66Al8Ni26,3,Zr Al Ni,66 8 26,0.103809205,35.61305208,AM
Ti45Cu25Ni15Sn3Be7Zr5,6,Ti Cu Ni Sn Be Zr,45 25 15 3 7 5,0.09479659,115.0012025,AM
Co2Mo0.5Ni2VW0.5,5,Co Mo Ni V W,2 0.5 2 1 0.5,0.035703416,335.8172144,IM+SS
Cu59.6Zr36.9Al3.5,3,Cu Zr Al,59.6 36.9 3.5,0.110629231,57.16713582,AM
Al4Ca,2,Al Ca,4 1,0.141225337,37.91236415,IM
Ni60Zr27Nb8Al5,4,Ni Zr Nb Al,60 27 8 5,0.114185823,44.74428062,AM
Al22Fe3Ti8,3,Al Fe Ti,22 3 8,0.041205297,44.39977028,IM
NiCoFeCrMo0.1Al0.3,5,Ni Co Fe Cr Mo Al,1 1 1 1 0.1 0.3,0.014656299,713.0887448,SS
AuBe5,2,Au Be,1 5,0.09914224,0,IM
AlMn,2,Al Mn,1 1,0.029475198,44.73480703,IM
Ni40Cu5Ti17Zr28Al10,5,Ni Cu Ti Zr Al,40 5 17 28 10,0.106962588,57.73005598,AM
Cu47Ti33Zr11Ni8Si,5,Cu Ti Zr Ni Si,47 33 11 8 1,0.087681274,119.681308,AM
Al0.5CoCrCuFeNiTi1.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.0,0.065347465,287.3588424,IM+SS
AlCoCrFeNi2.1,5,Al Co Cr Fe Ni,1 1 1 1 2.1,0.053807053,220.0003569,IM+SS
CoZn,2,Co Zn,1 1,0.054421769,170.5613405,IM
Cr2Mn11,2,Cr Mn,2 11,0.027307585,668.1266353,IM
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,Al Nb Ta Ti V Zr,0.3 1 0.8 1.4 0.2 1.3,0.053047552,771.2085615,SS
CoCrFeNiCuAl0.5 ,6,Co Cr Fe Ni Cu Al,1 1 1 1 1 0.5,0.041692079,1968.105626,IM+SS
AuCdSn,3,Au Cd Sn,1 1 1,0.048422536,95.60398792,IM
Al4(TiVCrCuFeMnCoNi)6,9,Al Ti V Cr Cu Fe Mn Co Ni,6 1 1 1 1 1 1 1 1,0.062761859,146.5049113,IM+SS
Cr6Fe18Mo5,3,Cr Fe Mo,6 18 5,0.035956752,1400.926346,IM
CrMnFe1.5Ni0.5Al0.5 ,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 0.5,0.051632523,361.1377915,IM+SS
Ni61Zr27Nb7Al5,4,Ni Zr Nb Al,61 27 7 5,0.114578677,43.63942647,AM
TiZrHfCuNi,5,Ti Zr Hf Cu Ni,1 1 1 1 1,0.103363704,113.6579642,AM
CoFeReRu,4,Co Fe Re Ru,1 1 1 1,0.043717578,2228.468185,SS
