Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
B2NiTa,3,B Ni Ta,2 1 1,1.079,0.247492994,2428.5,558.0866868,-46.25,9.380206887,1.039720771,5.25,2.861380786,2.55E+11,65.38348415,IM
CoCrCuFeNiTi0.8 ,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 0.8,1.281827586,0.057000242,1792.684483,249.7898342,-6.753864447,8.17788008,1.788636338,8.137931034,2.300286908,1.58E+11,23.79060457,IM+SS
CuZr,2,Cu Zr ,50 50,1.4405,0.112808053,1742.885,385.115,-23,0,0.693147181,7.5,3.5,1.05E+11,34.58333333,AM
Al0.5CoCrCuFeNiTi0.2,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.2,1.276035088,0.0493137,1701.702632,343.0089174,-4.148968914,6.793731655,1.857740065,8.122807018,2.428414944,1.56E+11,30.32886333,SS
Al2CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,2 1 1 0.5 1 1,1.306153846,0.064576019,1543.511538,451.0926934,-11.59763314,6.584303526,1.711845135,6.846153846,2.904801167,1.40E+11,44.18733654,SS
AlLa,2,Al La,1 1,1.6555,0.13500453,1063.235,129.765,-38,0,0.693147181,3,0,52000000000,24,IM
AlB2Ni7,3,Al B Ni,1 2 7,1.1794,0.159347242,1772.547,371.5149484,-19.6,3.285848444,0.801818553,7.9,3.207802986,1.98E+11,68.49700723,IM
FeSi2,2,Fe Si,1 2,1.182333333,0.035086212,1728.333333,58.45416058,-31.11111111,1.833239803,0.636514168,5.333333333,1.885618083,1.23E+11,32.99831646,IM
Pd95Si5,2,Pd Si,95 5,1.3639,0.035474579,1820.9975,30.7411348,-10.45,9.709447397,0.198515243,9.7,1.307669683,1.76E+11,17.43559577,AM
Mg65Cu15Ag10Y10,4,Mg Cu Ag Y,65 15 10 10,1.55705,0.091260148,1107.0085,284.538657,-7.69,3.420286063,1.025093912,4.35,3.850649296,64350000000,35.82495639,AM
Y36Sc20Al24Co20,4,Y Sc Al Co,36 20 24 20,1.5708,0.13550695,1588.0728,368.158987,-34.9248,10.92538855,1.354077539,4.2,2.4,80400000000,51.54648388,AM
AgZr,2,Ag Zr,1 1,1.524,0.05183727,1681.465,446.535,-20,0,0.693147181,7.5,3.5,85416666667,14.58333333,IM
Zr66Al8Cu12Ni14,4,Zr Al Cu Ni,66 8 12 14,1.50034,0.099572308,1884.01,384.9825242,-35.4448,8.52418585,1.005985909,5.6,2.905167809,94830000000,40.85106404,AM
CuCoNiCrAl0.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 0.8 1,1.277689655,0.049216676,1653.714828,376.6640152,-3.614744352,6.102456615,1.788636338,8,2.559633594,1.54E+11,34.00356699,SS
AuCu,2,Au Cu,1 1,1.36,0.060294118,1347.55,10.22,-9,0,0.693147181,11,0,1.80E+11,40,IM
AlCrCuFeNiTi,6,Al Cr Cu Fe Ni Ti,1 1 1 1 1 1,1.318,0.070092151,1658.54,407.4232083,-13.66666667,9.238606597,1.791759469,7,2.943920289,1.39E+11,36.27058802,SS
Au2Bi,2,Au Bi,2 1,1.438,0.003933835,1073.12,373.6493653,1.777777778,0.10475656,0.636514168,9,2.828427125,1.57E+11,89.09545443,IM
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,1.2773,0.037337176,1776.3,230.5862312,-4.04,2.35257816,1.557113098,7.8,1.4,1.56E+11,24.57641145,IM+SS
NbTiVZr,4,Nb Ti V Zr,1 1 1 1,1.4525,0.070483977,2250.5,302.0153142,-0.25,1.598338982,1.386294361,4.5,0.5,1.28E+11,39.93647299,SS
