Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Al0.5CoCrCuFeNiV0.6 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.6,1.273868852,0.04093038,1741.197541,359.5659372,-4.074173609,6.042357234,1.915349257,7.950819672,2.425454019,1.58E+11,28.06430976,IM+SS
AlB2,2,Al B,1 2,1.024,0.281737858,1876.49,666.8158368,0,0,0.636514168,3,0,2.39E+11,115.0227031,IM
Mg3Sm1,2,Mg Sm,3 1,1.65325,0.054740453,1028.5375,182.7963121,-4.5,0.649519053,0.562335145,2.25,0.433012702,43250000000,3.031088913,IM
AuSn2,2,Au Sn,1 2,1.560666667,0.053765488,782.4966667,392.3264124,-8.888888889,0.523782801,0.636514168,6.333333333,3.299831646,1.12E+11,76.36753237,IM
CoFeReRu,4,Co Fe Re Ru,1 1 1 1,1.30125,0.043717578,2411.25,691.0442732,-1.5,1.31101106,1.386294361,8,0.707106781,2.35E+11,80.15609771,SS
CoCrFeNiPd,5,Co Cr Fe Ni Pd,1 1 1 1 1,1.2724,0.040404358,1863.01,162.274152,-5.6,3.06333152,1.609437912,8.6,1.496662955,1.74E+11,8,SS
Mo3Si,2,Mo Si,3 1,1.3105,0.069387766,2593.75,523.5123566,-26.25,3.788861142,0.562335145,5.5,0.866025404,1.98E+11,56.29165125,IM
FeCoNiCrCuAl2.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.3,1.30939726,0.06402995,1505.719315,444.3124502,-9.375117283,6.763699733,1.725450926,6.97260274,3.047444934,1.38E+11,43.60513036,SS
AlCrNbTiV,5,Al Cr Nb Ti V,1 1 1 1 1,1.3776,0.059023492,1997.494,594.8655042,-14.56,6.814736972,1.609437912,4.6,1.019803903,1.35E+11,36.2789195,IM
Cu2Mg,2,Cu Mg,2 1,1.385666667,0.109884768,1212.846667,204.9525435,-2.666666667,0.15713484,0.636514168,8,4.242640687,1.08E+11,44.78342948,IM
Ce60Al10Ni10Cu20,4,Ce Al Ni Cu,60 10 10 20,1.6184,0.15889284,1180.301,222.6141237,-26.56,6.605977899,1.088899975,5.3,3.522782991,66800000000,59.71398496,AM
